inn,total_txn,eligible_in_debit,eligible_in_credit
b11dd198183f9225,289,True,False
b15d462367998bda,10,True,False
b1629ec4be7e0cf7,33,True,False
b19e00f903192faa,16,True,False
b1bb7c8ecd19fda9,57,True,False
b227f6be5af9ec15,33,True,False
b2438aa72ffbe8ee,12,True,False
b2d2622db9cca162,22,True,False
b3c6462406161b3a,138,True,False
b4a0035bd83f264a,58,True,False
b5e833c0223b7164,18,True,False
b6220f167bd0e8d2,11,True,False
b6aeb7c370d88e64,11,True,False
b6c7f3f36871ff0d,12,True,False
b70dc8f18639110d,30,False,True
b70ec0d607d89700,29,True,False
b774287cb8753651,36,True,False
b849b6d28499a3b3,11,True,False
b86a30e9d9e73df2,15,False,True
b8f0fb5b2468d928,10,False,True
b928e7eb6691a938,10,True,False
b97fec19dbf7f00f,338,True,False
ba324febcba0218e,18,True,False
ba3c827765bfcaee,25,True,False
ba76c3f3a6f6ed55,17,True,False
ba836b9825a4c758,14,True,False
bcca50bbc3fba1c7,19,True,False
bd1bf8fa70f75b8e,23,False,True
bd61782454bf6165,33,True,False
bda209d243d5899f,37,True,False
be21b7ab48cf2057,31,True,False
befccdf66e191c97,28,True,False
bf2e556c444ed741,16,True,False
bf745ecab8c71b39,43,True,False
bfc9fc052a8578f6,19,True,False
bfeb06eff11468a7,15,True,False
c00e8d44bee7635a,12,True,False
c021d9791a1adc52,12,False,True
c0bca625e34f5510,43,True,False
c0d8d9f325796f86,58,True,False
c0ee8ca321728c6b,15,True,False
c322791fdee3731e,23,True,False
c431e745d137d2a5,15,True,False
c43bf25457df0422,15,False,True
c466e03d98c0b0c0,13,True,False
c47746d888dcb779,28,True,False
c4dbb0c7f901a76b,10,True,False
c511268602f08b38,13,True,False
c52bbd0377edf95f,13,True,False
c52d63b63edc338a,17,True,False
c5724222346d43aa,37,True,False
c604ec2353b44b8f,227,True,False
c679c97b40ab3748,15,True,False
c73c7d4b3aadb022,23,False,True
c8106e7ca3ddebf4,28,True,False
c8bf3dc1e58c7487,10,True,False
c8c9531bdea64256,14,True,False
c8e8d71c685ec82d,32,True,False
c90f4e529b5e605d,17,True,False
c926262982f70f98,14,True,False
c9b60beb23fff01e,14,True,False
ca37160ec1b3e204,16,True,False
ca5afe66f4efaa19,17,True,False
cb7d885987faec7c,16,True,False
cbb4ca85fbdeefe4,42,True,False
cc46d85d9a643d95,16,True,False
cc8d77bc2ae56b8f,16,True,False
ccac114960c03b2b,40,True,False
ccf1054af65cc86e,20,True,False
cd099e7b6a296d60,25,True,False
cd42a9a717a0d56b,14,True,False
cd737770a9663940,98,True,False
ce54769212aa1ccb,64,True,False
ce931e9611101422,18,True,False
cea42216807bf75d,12,True,False
cf570886445f7056,91,False,True
cfbeb0ff719ce8c0,12,True,False
cff1b142285661d9,26,True,False
d01867b3a1fe3e6c,17,True,False
d01d28a54b900696,20,True,False
d0852e7af842040e,10,True,False
d0d9dffe5a44d543,85,True,False
d13b208321eb5714,39,True,False
d13e1706563c21d9,15,True,False
d1fc3b0717e4d958,14,True,False
d289e201c0ac426d,11,True,False
d39317719550a503,16,True,False
d444eef1a3f5af24,111,True,False
d47cd86beb9cfb76,12,True,False
d4aeb51cec2b4a34,10,True,False
d4b0fb776f6c32da,41,True,False
d4c0ddb4d041fc9e,18,True,False
d56f1abd163901fe,15,True,False
d5754fc6c95ca17f,16,True,False
d58c0236a3afdbab,24,True,False
d5d53037ab772f49,12,True,False
d666f237cdb78dde,17,True,False
d6a715bfad3460ab,45,True,False
d7fac95807ea68bd,15,True,False
d8d85e7ac1e3431a,19,True,False
d93778fb4c047b63,11,True,False
da21d00f06c508b4,54,True,False
da2a62f299a81701,18,True,False
da57ed5cdee39574,20,False,True
daf68a6b95fe3d7d,18,True,False
db501a15a49a7334,52,True,False
db5510804bd2a76b,13,True,False
db5a471e4fed5f0e,38,True,False
db5ba717283387c3,29,True,False
dc08463b06ec36c8,27,True,False
dc5f52ed570f3f56,58,True,False
dcb66de4a6f3b0e9,44,True,False
def85c8cebce39b9,11,False,True
df40b19c2218c38f,62,True,False
dffd967bcbc105c8,22,True,False
e00ae031156235c2,58,True,False
e0da0b13324e34d8,10,False,False
e181e3a592d9a9fe,63,True,False
e238a19fb879cba9,13,True,False
e23ba1ad0b66038a,27,True,False
e3059d5ad8dbb7fd,17,True,False
e307ee44ab6850a1,14,True,False
e3398ad1d39ae460,19,True,False
e3839d6402198da9,20,True,False
e38b24275a326af6,29,True,False
e3a9f85fbfe6f932,45,True,False
e3b689f5397ec9b9,79,False,True
e3b68bf55e76e29a,36,True,False
e45c1e79014ae071,21,True,False
e4663ff4da3aca07,11,True,False
e46c35eec9898936,16,True,False
e50ca40651279f39,18,True,False
e5954f66e09680ae,11,True,False
e607de408aea07a9,19,True,False
e71c487a21c1c4ef,18,True,False
e7445e806bcc8b6a,12,True,False
e76fa40d60bca91c,12,True,False
e783d1e50630aa9b,15,True,False
e87a7e2027bcd547,36,True,False
e8bb226037051525,18,True,False
e90f3d036ef41af9,43,True,False
e96eccafc8a31029,37,True,False
e9bd66a9ce8165bc,15,True,False
e9d10f938d3799f1,30,True,False
e9fe96794031ea1d,17,True,False
eae0228fc6b8a030,15,True,False
ec73f887a7b645be,13,True,False
ece1b36f525fe128,40,True,False
edf595d733e68837,18,True,False
ee55fe5eb680d0ee,16,True,False
ef04d80ac4174513,24,True,False
ef0fc61ab8d27874,10,True,False
f099570e85fce4f7,74,False,True
f1598dc976b63619,24,True,False
f19e3318c8fb0bf0,16,True,False
f1bd0342284a2b26,19,True,False
f1c1826fb710628c,44,True,False
f1c68990b2ba9be9,24,True,False
f1fc6918d47262bd,13,True,False
f203d76685d25273,18,True,False
f2181ef7f5129291,55,True,False
f281004d39cb2718,20,True,False
f3d1dfc34a31cbe2,13,True,False
f47c39bf1dc7cebb,11,True,False
f4efb233746f625b,11,False,True
f5e278f1d01cdadb,35,True,False
f6c3ff7bc59fcf62,13,True,False
f6fb5a3e4235e1f1,16,True,False
f72c3ada7ec6603a,18,True,False
f74dec8c04c0951d,30,True,False
f7570676928b928d,12,True,False
f76c82f71ad2b080,15,True,False
f7c9dd69acfe675f,14,True,False
f972102f72d77631,38,True,False
f99cbe4d6aba1b9f,17,True,False
f9a8716d72643a59,25,True,False
f9bd88035426a3c5,11,True,False
f9ddecaba5aafadb,15,True,False
fa43c6a703dd4b83,16,True,False
fa75d280de9be793,11,True,False
fb10bfd6b6f0c97b,88,True,False
fb2cc0a29864f425,72,True,False
fb6497d229df68c2,117,True,False
fd398d30919efd23,16,True,False
fe27766c81182a3c,75,True,False
feb5e50bda6c8e8b,13,True,False
fed2e60e6ac38813,50,True,False
ff905109ecfc386c,59,True,False
