txn_id,date,inn,side,amount,purpose,iforest_score_credit,iforest_rank_credit
b1d21fe68f7f8bce5da4672d905c406c8665fa0146a710d0cbef565064c40be0,2019-03-18,cf570886445f7056,credit,564000.0,"Оплата по счету № 16377, 16378, 16379, 16391 от 18.13.2119г. Услуги по перевозке Сумма 564111-11 В т.ч. НДС  (21%) 94111-11",0.999999997454458,1.0
02fc6d4c8ecff63de62ca2ff98ee5d57c0eb4a64dd6a088ed3adce52be729048,2019-01-06,ac50b92c56f08dac,credit,63935.11,"Зачисление средств по операциям с МБК (на основании реестров платежей). Мерчант №INN_395d380d0baf. Дата реестра DATE_4685c1b548e1. Комиссия 1,139.61. Возврат покупки 1.11/1.11. НДС не облагается.",0.9999999974382084,1.0
a0b8bf938c2469b0d541999c84498ff108757e25eeba9667da642cd036601fcd,2019-01-31,8d9e0be733f77f1c,credit,2000000.0,"Погашение кредита по договору 611161151 от 27 декабря 2116 г. клиент ООО ""МЕРКУРИЙ""",0.999999997251398,1.0
7f6067170406ef66114316ff0a4d0f2e0c03a164a8739af86fc575988701dbb7,2019-03-28,62ff58a9bb0efe6b,credit,194726.39,Оплата задолженности за товар согласно акта сверки по состоянию на 22.13.2119г. Сумма 194726-39 В т.ч. НДС  (11%) 17712-41,0.9999999971450564,1.0
d5779e5ff5007e603dc4a2ee3899e0df7cabb0cd11dd29b0485908047a784d89,2019-04-03,2fa1a5c620cf1cd6,credit,4419.2,Оплата задолженности за товар согласно акта сверки за период с  11.11.2119г. по 31.13.2119г. Сумма 4419-21 В т.ч. НДС  (11%) 411-75,0.9999999969301882,1.0
c2fc9397411e42ca1f5a4e083c7472a78950ace709af8d5877981be1bbec257c,2019-02-01,24eec3b758ac0aac,credit,18360.0,Оплата сч-ф № 268 от 24.11.2119г. За товар Сумма 18361-11 В т.ч. НДС  (11%) 1669-19,0.9999999968166295,1.0
038cbbe8c070ec06deda6c48ed66b85d88a1dbce501a628fdcd82eb2857d94a1,2019-04-30,b70dc8f18639110d,credit,181186.03,Оплата по счету № 4 от 23.14.2119г. аренда за апрель 2119г. Договор субаренды № КМ-11/111419 от 11.14.19г. Сумма 181186-13 В т.ч. НДС  (21%) 31197-67,0.9999999966620011,1.0
e0d2a0c710b36099023c181b86215d723790004a82c52d66f4c1d6dac0d8793a,2019-04-05,f099570e85fce4f7,credit,657000.0,Оплата по договору ЧМ-1/131118 от 13.11.2118г. Автоуслуги Сумма 657111-11 Без налога (НДС),0.999999996656231,1.0
4bec961635dbd77bef8d16580edc6b9159c6ffd70e9236a4b7135939b7ad8e5d,2019-04-30,e3b689f5397ec9b9,credit,200.0,"НДФЛ, удержанный с заработной платы за апрель 2119г.",0.9999999966175975,1.0
18d91b14695efcb55229a2900d5cb04f033083f959997170abdef9c16edd9a55,2019-03-05,25c968cf65aba204,credit,500.0,Оплата по Договору СМ-1/131118 от 13.11.2118г.  Транспорные услуги Сумма 511-11 Без налога (НДС),0.9999999964760989,1.0
5c6a076af95adca4e2238e88b077d14509c7e327ba999941d6f1f21338d952a0,2019-01-31,7fb45df96f63ab19,credit,2459881.6,Оплата по счету №1236 от 23.11.2119г. Продукция из мяса птицы Сумма 2459881-61 В т.ч. НДС  (11%) 223625-61,0.9999999964406592,1.0
139acc9ada3e9c4f94a0a2e452ed491c110bb104c3d40dd727f3ae07c975dfa4,2019-04-03,b8f0fb5b2468d928,credit,60.8,Оплата по счету № 949 от 12.14.2119г.  За канцтовары Сумма 61-81 В т.ч. НДС  (21%) 11-13,0.9999999963253532,1.0
2f810c12dce69f5a41ae40857950f8c90a509e37032c61360693d3db6d5bc3b2,2019-01-31,4eb35b9de050edc3,credit,3600.0,Оплата по сч-ф № 493 от 31.11.2119г. Договор № Д-2119-МЕРКУРИЙ от 11.11.2119г. Досмотр Сумма 3611-11 В т.ч. НДС  (21%) 611-11,0.9999999962787972,1.0
1edd2f806410ac7442a1266c008f743d0ef0326163cfa0cf8135c8cb489b39e8,2019-01-28,da57ed5cdee39574,credit,35500.0,Оплата по счету № 11СА-11173 от 24.11.2119г. Организация автодоставки контейнера Сумма 35511-11 Без налога (НДС),0.9999999962425604,1.0
7ff646360b0bc9a143e0fa930a4f5a64863b75bc14c5887da96e2332444be75d,2019-03-06,419028ca924998e5,credit,186585.0,Оплата по счету № 48 от 27.12.2119г.обслуживание холодильного оборудования Сумма 186585-11 Без налога (НДС),0.9999999961895072,1.0
bcdfe8c48ccc4ab4b16f79cce856613ecfea5365bf74ab0de6228b4560cdaa5d,2019-01-23,af5a803b0a70f3e8,credit,145000.0,Оплата по счету № 211 от 22.11.2119г. Транспортно-экспедиционные услуги (возмещаемые) Сумма 145111-11 Без налога (НДС),0.9999999961073567,1.0
aec6ca2cd1e0b165447ae0073e27e6ab3b90f3b511884d12dc788199bcaba3a7,2019-01-25,9260307a8efe2dc8,credit,2922881.95,Оплата по счету № 38 от 21.11.2119г. За товар. Договор поставки № П-15/12-121 от 21.12.2115г. Сумма 2922881-95 В т.ч. НДС  (11%) 265716-54,0.9999999959971964,1.0
303a15398d1cf7c6217871be66e21c218620a1339a465ca62da47b2efa26e301,2019-01-09,7d65e62c29d9f12a,credit,2670737.44,Оплата по с-ф № 321 от 21.12.2118г. Договор поставки № 13 от 11.11.218г. Сумма 2671737-44 В т.ч. НДС  (11%) 242794-31,0.9999999959641966,1.0
