txn_id,date,inn,side,amount,purpose,iforest_score_debit,iforest_rank_debit
92931e6662880dcd05ac4f94f3209a4a19860121d62134c0e8f0eceda2a73be2,2019-01-09,7f870a2575b3cbdc,debit,148676.39,"Оплата за товар по с/ф 152329,152813 от 12.12.18.,сф 153267,153118,152898 от 13.12.18.,сф 154164от 15.12.18.,сф 155916,155471,155481,155792 от 19.12.18. Островной-1 Сумма 148676-39 В т.ч. НДС  (18%) 22679-45",0.9999999979940555,1.0
aeffd30bc626437d7bc5e2a2354d98a6bc24e2e28c284d992c95c49b60ff6311,2019-01-09,20c3ce2268f14bda,debit,143051.22,"Оплата за товар по с/ф 153116,153165,153214,153329,153358,153431,153431 от 13.12.18,сф 154163 от 15.12.18. Островной-2 Сумма 143151-22 В т.ч. НДС  (18%) 21821-37",0.9999999979504709,1.0
0e49fffa669258f926e8436e8622554a72fb103177765e0490084b9c7fc09234,2019-03-25,c0d8d9f325796f86,debit,65.0,ДОПЛАТА,0.9999999978605933,1.0
0e1a7208438656a51c4c38158dd4e40a428967055af68744ffa17fdfb28fe0c3,2019-02-01,4b423a7b12629149,debit,1335.43,Оплата за товар по с-ф ТЕЦ 5118 от 17.11.19г.переплта закрыта полностью  В том числе НДС - 358.48 рублей.,0.99999999772335,1.0
efea24f21a0bad3099f5c842f87c1ad0556784275aad303140d081b89a06b267,2019-04-30,b11dd198183f9225,debit,98582.36,"АУПОПЛ.ПРОД.СФТЕЦ11128789.28841.28331.28298.28178.28177.28297.28243.28175.28179.28241ОТ18.13.19,29432.29412.29449.ОТ19.13.19. ДОГ 1242-16 ОТ18.12.16 В Т.Ч. НДС 9114.61",0.9999999976960623,1.0
ee2cd309a7877ad13d1569368e585c71e24a814ae3e58fe2b176525a433c86ea,2019-01-09,4a678c081ddefd64,debit,2276.1,Оплата счет-фактуры № ТЕЦ111111 от 13.11.2119г за продовольственные товары. Без НДС.,0.9999999976413607,1.0
01f1d1585a9c88f3056ca02e949f88e24d715c564d3d721775b1d926c420f94f,2019-04-22,8192171ce6b04339,debit,10685.87,Оплата товара по с/ф ТЕЦ11142693 от 21.14.19  В том числе НДС 11 % - 971.45 рублей.,0.9999999976354451,1.0
a1cfa6764b2320e62cd43a2053a910b8bf33b6f3da4ac91a2baa7abfc4a58062,2019-05-07,78d1f368fb0faa35,debit,8648.0,"Оплата продуктов питания по с/ф 41617, 41693, 43285, 43344 на сумму 8648,11 руб. В том числе НДС 11 % - 786.18 рублей.",0.9999999976245532,1.0
6230e5af41da553c2a0f114389f8f1b12ea27cb3c21903c90f97d487bded0d8e,2019-01-29,929f4cdde4da9462,debit,4671.15,оплата за товар по договору В том числе НДС 21 % - 778.53 рублей.,0.9999999976213864,1.0
e89118b0bebbb31a1befaae7ea5afbc84e3123ab5b85df44d18141912e50cf6d,2019-01-09,59e05aef699af6f5,debit,118865.36,"За продукты питания магазина ""Невельск"" сч.157353,157364,157354 от 17.12.2118г.,сч.159317 от DATE_9e966ed7a770 г., сч.161321,161321 от DATE_8c7e93a8c576 г., сч.161359,161369 от 25.12   В том числе НДС 18 % - 18132.11 рублей.",0.9999999975850484,1.0
3ed8da73a65d01c334a8cb9fe9ea1d7114cd8fc8f5e978e76f7a644872cec937,2019-01-04,cd737770a9663940,debit,4080.0,счет-фактура № ТЕЦ11158981 от 26 .12.2118 года НДС не облагается.,0.9999999974982245,1.0
24760727abc0d78e966be52644c7e98e3ae441457ec2ca7fcb209f696f0fb6f6,2019-04-18,fe27766c81182a3c,debit,11086.87,счёт-фактураТЕЦ11136582 за минусом возврата от 1 апреля 2119 г. №ТЕР11111352 и № ТЕР11111351,0.9999999974628478,1.0
63fbf4fbcf296c059ed1b8d26d6cd8d21fa30b1f77e8c4a11a82ba4f9c4c42d7,2019-01-11,92f529d63e2fb2dc,debit,500000.0,Оплата по договору М-ПОГ-11/11112116 от DATE_9f5d8f3f02b7 Сумма 511111-11 В т.ч. НДС  (11%) 45454-55,0.9999999974456624,1.0
f6eff59a3e53b7826f4f8f3ad746442db604720a05a1263e6204c62ff4b22f14,2019-03-25,531abbee9536e1c1,debit,175.3,"Оплата по счету № 22866 от DATE_74c43b5d539a ( 864 уд. возвр. 392,14 от 19.12.19, 77 от 26.12.19, 219,56 от 27.12.19 )Сумма 175-31В т.ч. НДС  (11%) 15-94",0.9999999974226241,1.0
515aedb393f0d5f99bf100a45ecb3e9975fc153974d0b59a581e025af4b55dca,2019-01-15,25d098092a1d9e36,debit,8016.0,"Оплата за товар по счет-фактурам №159351 от 27,12,18г. В том числе НДС 18 % - 1222.78 рублей.",0.9999999974217388,1.0
68485979f989ba8bc50522d631ef75c22048ea624e3be6c34df6192a52edff87,2019-01-18,d0d9dffe5a44d543,debit,16944.0,Оплата по счету № 159885 от DATE_d80081932bd4 Сумма 16 944-11 в т.ч. НДС 1 541-36,0.9999999974188716,1.0
51ff1eab387ae6b45ad67d5863768bc5a808439900ab3180181a3ae25398cfcd,2019-01-09,b774287cb8753651,debit,78360.88,"Оплата за DATE_9e966ed7a770, В том числе НДС(18%) 11953-35.",0.9999999974154233,1.0
41e3c56465f731809fd7041879471a5fbeb1ac7352e21bdbf4d0a28ddbbb9ce1,2019-01-14,381c729990ab3f87,debit,99628.0,В том числе НДС 21 % - 16614.67 рублей. накладные от 17 и 24 декабря,0.9999999974087068,1.0
